66,"AMERICA","Costa Rica","ACTIVO","Primera A Costa Rica","https://betplay.com.co/apuestas#sports-hub/football/costa_rica/primera_division_costa_rica","https://www.betsson.co/apuestas-deportivas/futbol/costa-rica/costa-rica-primera-division?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-cr-sb_type_19402/matches","https://stake.com.co/es/deportes/football/costa-rica/primera-division-torneo-de-invierno","https://apuestas.wplay.co/es/t/19402/Costa-Rica-Primera-Divisi%C3%B3n","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/costa-rica-104/primera-divisi%C3%B3n-apertura-101518","https://www.betano.co/sport/futbol/costa-rica/liga-fpd/17572/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/costa_rica/primera_division_costa_rica","Costa Rica","Primera DivisiÃ³n Costa Rica","https://www.zamba.co/deportes/f%C3%BAtbol/costa-rica/primera-divisi%C3%B3n,-clausura/matches/63491.1","https://sports.yajuego.co/competition/soccer/costarica/primeradivision/1-216-111785","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:27094","https://www.luckia.co/apuestas/futbol/costa-rica-primera-division/56209/?date=sve","https://bingocasinos.co/es/football/primeraadivision-171-13"	
67,"AMERICA","Jamaica","","Premier League Jamaica","https://betplay.com.co/apuestas#sports-hub/football/jamaica/premier_league","https://www.betsson.co/apuestas-deportivas/futbol/jamaica/jamaica-premier-league?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-jm-sb_type_29773/matches","https://stake.com.co/es/deportes/football/jamaica/premier-league","https://apuestas.wplay.co/es/t/29773/Jamaica-Premier-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/jamaica-138/liga-premier-102202","https://www.betano.co/sport/futbol/jamaica/premier-league/17611/?bt=matchresult","","Jamaica","Jamaica Premier League","","https://sports.yajuego.co/competition/soccer/jamaica/premierleague/1-345-101829","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:1892","https://www.luckia.co/apuestas/futbol/jamaica-premier-league/139545/?date=sve","https://bingocasinos.co/es/football/premier+league-537-13"	
68,"AFRICA","Egipto","ACTIVO","Egyptian Premier","https://betplay.com.co/apuestas#sports-hub/football/egypt/premier_league","https://www.betsson.co/apuestas-deportivas/futbol/egipto/egipto-liga-premier?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-eg-sb_type_29730/matches","https://stake.com.co/es/deportes/football/egypt/egyptian-premier","https://apuestas.wplay.co/es/t/29730/Egipto-Premier-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/egipto-111/premier-league-102172","","","Egipto","Premier League Egipto","","https://sports.yajuego.co/competition/soccer/egypt/premierleague/1-330-101406","","","https://bingocasinos.co/es/football/premier+league-390-13"	
69,"AFRICA","SudÃ¡frica","ACTIVO","Premier Sudafrica","https://betplay.com.co/apuestas#sports-hub/football/south_africa/sa_premier_soccer_league","https://www.betsson.co/apuestas-deportivas/futbol/south-africa/sudafrica-psl?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-za-sb_type_29746/matches","https://stake.com.co/es/deportes/football/south-africa/premier-league","https://apuestas.wplay.co/es/t/29746/Sud%C3%A1frica-Premier-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/sud%C3%A1frica-197/liga-premier-100015","","","","","","https://sports.yajuego.co/competition/soccer/southafrica/premiersoccerleague/1-217-101346","","","https://bingocasinos.co/es/football/premier+league-248-13"	
70,"AFRICA","Argelia","ACTIVO","Primera A Argelia","https://betplay.com.co/apuestas#sports-hub/football/algeria/ligue_1","https://www.betsson.co/apuestas-deportivas/futbol/argelia/argelia-liga-1?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-dz-sb_type_29726","https://stake.com.co/es/deportes/football/algeria/division-1","https://apuestas.wplay.co/es/t/29726/Algeria-1%C2%AA-Division","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/argelia-69/ligue-1-102233","https://www.betano.co/sport/futbol/argelia/ligue-1/187081/?bt=matchresult","","Argelia","1Âª DivisiÃ³n Argelia","https://www.zamba.co/deportes/f%C3%BAtbol/argelia/liga-1/matches/61034.1","https://sports.yajuego.co/competition/soccer/algeria/ligue1/1-314-101343","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:841","","https://bingocasinos.co/es/football/liguea1a193-193-13"	
71,"AFRICA","TÃºnez","","Primera A Tunez","https://betplay.com.co/apuestas#sports-hub/football/tunisia/ligue_1","https://www.betsson.co/apuestas-deportivas/futbol/tunez/tunisia-ligue-1?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-tn-sb_type_29756/matches","https://stake.com.co/es/deportes/football/tunisia/League%201","https://apuestas.wplay.co/es/t/29756/T%C3%BAnez-Ligue-1","","","","","","","","","",""	
72,"ASIA","Arabia Saudita","ACTIVO","Sudi Pro League","https://betplay.com.co/apuestas#sports-hub/football/saudi_arabia/professional_league","https://www.betsson.co/apuestas-deportivas/futbol/arabia-saudita/saudi-arabia-proleague?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-sa-sb_type_19361/matches","https://stake.com.co/es/deportes/football/saudi-arabia/pro-league","https://apuestas.wplay.co/es/t/19361/Arabia-Saudita-Professional-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/arabia-saud%C3%AD-191/saudi-pro-league-102212","https://www.betano.co/sport/futbol/arabia-saudita/professional-league/17766/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/saudi_arabia/professional_league","Arabia SaudÃ­","Liga Profesional SaudÃ­","https://www.zamba.co/deportes/f%C3%BAtbol/saudi-arabia/liga-profesional-saud%C3%AD/matches/60391.1","https://sports.yajuego.co/competition/soccer/saudiarabia/saudiprofessionalleague/1-363-101203","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:955","https://www.luckia.co/apuestas/futbol/arabia-saudi-pro-league/50388/?date=sve","https://bingocasinos.co/es/football/professional+league-515-13"	
73,"ASIA","China","","Superliga China","https://betplay.com.co/apuestas#sports-hub/football/china/super_league","https://www.betsson.co/apuestas-deportivas/futbol/china/china-superliga?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-cn-sb_type_19485/matches","https://stake.com.co/es/deportes/football/china/super-league","https://apuestas.wplay.co/es/t/19485/China-Super-Liga","","","","","","","","","",""	
74,"ASIA","Corea Del Sur","","K-League 1 Corea","https://betplay.com.co/apuestas#sports-hub/football/south_korea/k-league_1","https://www.betsson.co/apuestas-deportivas/futbol/corea-del-sur/corea-del-sur-k-league-1?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-kr-sb_type_19306/matches","https://stake.com.co/es/deportes/football/south-korea/k-league-1","https://apuestas.wplay.co/es/t/19306/COREA-DEL-SUR-K-LEAGUE-1","","","","","","","","","",""	
75,"ASIA","JapÃ³n","","J1 League Japon","https://betplay.com.co/apuestas#sports-hub/football/japan/j1-league","https://www.betsson.co/apuestas-deportivas/futbol/japon/japon-j1-league?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-jp-sb_type_19378/matches","https://stake.com.co/es/deportes/football/japan/j-league","https://apuestas.wplay.co/es/t/19378/Jap%C3%B3n-Liga-J","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/jap%C3%B3n-52/liga-j-102360","","","","","","","","",""	
76,"ASIA","Catar","","Stars League Qatar","https://betplay.com.co/apuestas#sports-hub/football/qatar/stars_cup","https://www.betsson.co/apuestas-deportivas/futbol/qatar/qatar-stars-league?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-qa-sb_type_19421/matches","https://stake.com.co/es/deportes/football/qatar/stars-league","https://apuestas.wplay.co/es/t/19421/Qatar-Stars-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/qatar-186/liga-de-las-estrellas-102205","https://www.betano.co/sport/futbol/catar/stars-league/17539/?bt=matchresult","","","","https://www.zamba.co/deportes/f%C3%BAtbol/catar/liga-de-las-estrellas/matches/60858.1","https://sports.yajuego.co/competition/soccer/qatar/starsleague/1-64-101351","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:825","",""	
77,"OCEANIA","Australia","ACTIVO","A-Liga Australia","https://betplay.com.co/apuestas#sports-hub/football/australia/a-league","https://www.betsson.co/apuestas-deportivas/futbol/australia/australia-a-liga?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-au-sb_type_29774/matches","https://stake.com.co/es/deportes/football/australia/a-league","https://apuestas.wplay.co/es/t/29774/Australia-A-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/australia-60/liga-a-2068","https://www.betano.co/sport/futbol/australia/a-league/16816/?bt=matchresult","","Australia","A-League","https://www.zamba.co/deportes/f%C3%BAtbol/australia/liga-a/matches/61265.1","https://sports.yajuego.co/competition/soccer/australia/a-league/1-316-101205","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:136","https://www.luckia.co/apuestas/futbol/australia-a-league/2967/?date=sve","https://bingocasinos.co/es/football/a-league-103-13"	
78,"ASIA","Emiratos Arabes U","","UAE Pro League","https://betplay.com.co/apuestas#sports-hub/football/united_arab_emirates/arabian_gulf_league","https://www.betsson.co/apuestas-deportivas/futbol/uae/uae-league?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-ae-sb_type_19440/matches","https://stake.com.co/es/deportes/football/uae/premier-league","https://apuestas.wplay.co/es/t/19440/UAE-Arabian-Gulf-League","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/emiratos-%C3%A1rabes-unidos-219/pro-league-102230","https://www.betano.co/sport/futbol/emiratos-arabes-unidos/pro-league/17530/","","Emiratos Ãrabes Unidos","UAE Pro League","https://www.zamba.co/deportes/f%C3%BAtbol/united-arab-emirates/liga-del-golfo-%C3%81rabe/matches/60930.1","https://sports.yajuego.co/competition/soccer/emiratosarabes/arabiangulfleague/1-215-101339","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:971","https://www.luckia.co/apuestas/futbol/emiratos-arabes-pro-league/50020/?date=sve","https://bingocasinos.co/es/football/premieraleaguea501-501-13"	
79,"ELIMINATORIAS","UEFA","","Eliminatorias Mundial UEFA","https://betplay.com.co/apuestas#sports-hub/football/world_cup_qualifying_-_europe","https://www.betsson.co/apuestas-deportivas/futbol/mundial/eliminatorias-uefa?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-int2-sb_type_583780/matches","https://stake.com.co/es/deportes/football/world/eliminatorias-uefa","","","","","","","","","","",""	
80,"ELIMINATORIAS","CAF (AFRICA)","","Eliminatorias Mundial CAF","https://betplay.com.co/apuestas#sports-hub/football/world_cup_qualifying_-_africa","","","","","","","","","","","","","",""	
81,"ELIMINATORIAS","AFC (ASIA)","","Eliminatorias Mundial AFC","https://betplay.com.co/apuestas#sports-hub/football/world_cup_qualifying_-_asia","","","","","","","","","","","","","",""	
82,"ELIMINATORIAS","CONMEBOL","","Eliminatorias Mundial CONMEBOL","","","","","","","","","","","","","","",""	
83,"ELIMINATORIAS","CONCACAF","","Eliminatorias Mundial CONCACAF","https://betplay.com.co/apuestas#sports-hub/football/world_cup_qualifying_-_north__central___caribbean","","","","","","","","","","","","","",""	
84,"ELIMINATORIAS","FIFA","","Repechaje mundial 2026","https://betplay.com.co/apuestas#sports-hub/football/world_cup_qualification_play_off","","","https://stake.com.co/es/deportes/football/world/eliminatorias-uefa","","","","","","","","","","https://www.luckia.co/apuestas/futbol/copa-del-mundo-clasificacion-uefa/56729/?date=sve",""	
85,"INTERPAISES","UEFA","","Eurocopa de Naciones","","","","","","","https://www.betano.co/sport/futbol/campeonatos/eurocopa/189663/","","","","","","","",""	
86,"INTERPAISES","CAF (AFRICA)","","Copa Africana de Naciones ","https://betplay.com.co/apuestas#sports-hub/football/africa_cup_of_nations","https://www.betsson.co/apuestas-deportivas/futbol/copa-africana-de-naciones/copa-africana-de-naciones?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-africa-sb_type_557799/matches","https://stake.com.co/es/deportes/football/africa/africa-cup-of-nations","https://apuestas.wplay.co/es/t/557799/Copa-Africana-de-Naciones-Partidos","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/%C3%A1frica-11/copa-%C3%A1frica-de-naciones-0:11","https://www.betano.co/sport/futbol/caf/copa-africana-de-naciones/481g/?bt=matchresult","https://www.rushbet.co/?page=sportsbook#filter/football/africa_cup_of_nations","Internacional","Copa Africana de Naciones","","https://sports.yajuego.co/competition/soccer/international/africacupofnations/1-8-106431","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:270","https://www.luckia.co/apuestas/futbol/copa-africana-de-naciones/51066/?date=sve","https://bingocasinos.co/es/football/africaacupaofanations-7-13"	
87,"INTERPAISES","CONMEBOL","","Copa America de Naciones","","","","","","","","","","","","","","",""	
88,"INTERPAISES","CONCACAF","","Copa de Oro","","","","","","","","","","","","","","",""	
89,"INTERPAISES","AFC (ASIA)","","Copa Asiatica de Naciones","","","","","","","","","","","","","","",""	
90,"INTERPAISES","FIFA","ACTIVO","Amistosos de Naciones","","","","","","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/mundo-6/amistosos-int-102897","https://www.betano.co/sport/futbol/internacional/amistosos/17026/?bt=matchresult","","","","","","","https://www.luckia.co/apuestas/futbol/partidos-amistosos/50508/?date=sve","https://bingocasinos.co/es/football/friendliesanationalateams-7-13"	
93,"MUNDIALES","FIFA","","Copa Mundial 2026","https://betplay.com.co/apuestas#sports-hub/football/world_cup_2026","https://www.betsson.co/apuestas-deportivas/futbol/mundial/mundial?tab=liveAndUpcoming","https://sports.sportium.com.co/sports/soccer/competitions/soccer-int2-sb_type_296772/matches","https://stake.com.co/es/deportes/football/world/fifa-world-cup","https://apuestas.wplay.co/es/t/296772/Mundial-2026-Partidos","https://www.bwin.co/es/sports/f%C3%BAtbol-4/apuestas/mundo-6/mundial-2026-0:14","https://www.betano.co/sport/futbol/campeonatos/mundial/189813/","https://www.rushbet.co/?page=sportsbook#filter/football/world_cup_2026","FIFA Copa Mundial 2026","Partidos - Mundial 2026","https://www.zamba.co/deportes/f%C3%BAtbol/international/copa-mundial/matches/60392.1","https://sports.yajuego.co/popularCoupons/0/copadelmundo2026/1621","https://www.rivalo.co/es/sportsbook/football?tournament=sr:tournament:16","https://www.luckia.co/apuestas/futbol/copa-del-mundo/208008/?date=sve",""	
94,"MUNDO","FIFA","","FINALISIMA","","","https://sports.sportium.com.co/sports/soccer/competitions/soccer-int6-sb_type_579789/matches","","https://apuestas.wplay.co/es/t/579789/Finalissima","","https://www.betano.co/sport/futbol/internacional/finalissima/198734/?bt=matchresult","","","","","","","",""	
95,"","","ACTIVO","RECOPA SUDAMERICANA","","","","","","","","","","","","https://sports.yajuego.co/competition/soccer/internationalclubs/recopasudamericana/1-7-101934","","https://www.luckia.co/apuestas/futbol/recopa-sudamericana/56559/?date=sve",""	
96,"","","","","","","","","","","","","","","","","","",""	
97,"","","","","","","","","","","","","","","","","","",""	
98,"","","","","","","","","","","","","","","","","","",""	
99,"","","","","","","","","","","","","","","","","","",""	
100,"","","","","","","","","","","","","","","","","","",""	
101,"","","","","","","","","","","","","","","","","","",""	
102,"","","","","","","","","","","","","","","","","","",""	

